satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,work_accident,left,promotion_last_5years,department_IT,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium
0.38,0.53,2,157.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.8,0.86,5,262.0,6.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.11,0.88,7,272.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.72,0.87,5,223.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.37,0.52,2,160.16353543979506,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.41,0.5,2,160.16353543979506,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.1,0.77,6,247.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.92,0.85,5,259.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.89,1.0,5,224.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.42,0.53,2,142.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.45,0.54,2,135.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.11,0.81,6,305.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.84,0.92,4,234.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.41,0.55,2,148.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.36,0.56,2,137.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.38,0.54,2,143.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.45,0.47,2,160.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
